name,"1.1 - Skills","1.2 - Strategies","1.3 - Ecosystem","2.1 - Co-creation","2.2 - Supply of online services","2.3 - Useability","2.4 - Security and privacy","2.5 - Citizens redress and feedback mechanisms","2.6 - Interoperability","3.1 - Adoption","3.2 - Reduction of burden","3.3 - Satisfaction"
Arezzo,1/4,3/6,1/3,1/5,0/5,3/4,3/3,0/2,0/3,1/2,0/2,0/2
"Barcelona *",2/4,4/6,3/3,0/5,3/5,3/4,3/3,2/2,0/3,0/2,0/2,0/2
"Bratislava ",3/4,5/6,2/3,5/5,0/5,3/4,3/3,2/2,3/3,1/2,2/2,2/2
"Catalonia Region ",4/4,4/6,3/3,2/5,5/5,3/4,3/3,2/2,2/3,2/2,2/2,2/2
"City of Turin",3/4,5/6,1/3,2/5,4/5,4/4,3/3,1/2,3/3,1/2,0/2,1/2
"Emilia Romagna ",3/4,3/6,3/3,0/5,1/5,4/4,2/3,0/2,1/3,2/2,0/2,0/2
"Emilia Romagna: City of Bologna ",3/4,6/6,1/3,3/5,4/5,4/4,3/3,1/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Comune di Mirandola",0/4,1/6,3/3,2/5,2/5,3/4,2/3,1/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Comune di Parma",2/4,2/6,1/3,0/5,2/5,3/4,3/3,1/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Comune di Ravenna",1/4,2/6,1/3,1/5,2/5,2/4,3/3,0/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Comune di Riccione",1/4,2/6,1/3,1/5,1/5,3/4,3/3,1/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Comune di San Lazzaro di Savena",2/4,1/6,1/3,1/5,2/5,3/4,3/3,1/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Comune di Santarcangelo",0/4,1/6,2/3,1/5,1/5,2/4,3/3,1/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Distretto Ceramico",2/4,4/6,1/3,2/5,3/5,2/4,3/3,1/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Nuovo Circondario Imolese",1/4,2/6,1/3,0/5,2/5,1/4,1/3,0/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Ravenna Province",2/4,3/6,1/3,2/5,2/5,2/4,3/3,1/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Unione Bassa Reggiana",2/4,2/6,1/3,0/5,2/5,2/4,1/3,1/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Unione Bassa Romagna",2/4,2/6,1/3,0/5,2/5,1/4,1/3,0/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Unione Terre d'Acqua",1/4,2/6,1/3,2/5,2/5,2/4,3/3,1/2,0/3,2/2,0/2,0/2
"Emilia Romagna: Unione Terre di castelli",2/4,2/6,1/3,1/5,3/5,1/4,1/3,1/2,0/3,1/2,0/2,0/2
"Emilia Romagna: Valsamoggia ",2/4,2/6,2/3,1/5,3/5,3/4,3/3,1/2,0/3,2/2,0/2,0/2
"Emilia-Romagna Region",3/4,3/6,3/3,0/5,1/5,4/4,2/3,0/2,2/3,2/2,0/2,0/2
"Emilia-Romagna: Comune di Cesena",1/4,2/6,2/3,0/5,1/5,1/4,3/3,0/2,0/3,1/2,0/2,0/2
"Emilia-Romagna: Comune di Ferrara ",2/4,3/6,2/3,1/5,2/5,0/4,2/3,0/2,0/3,2/2,0/2,0/2
"Espoo ",3/4,3/6,3/3,2/5,1/5,3/4,3/3,2/2,1/3,1/2,0/2,1/2
Ferrara,2/4,3/6,1/3,0/5,1/5,3/4,1/3,0/2,1/3,2/2,0/2,0/2
"Ghent ",4/4,4/6,3/3,3/5,4/5,3/4,3/3,2/2,2/3,1/2,0/2,2/2
"Gothenburg ",4/4,3/6,2/3,4/5,1/5,4/4,2/3,2/2,2/3,1/2,0/2,1/2
"Greater London Authority",4/4,5/6,2/3,5/5,0/5,3/4,1/3,1/2,0/3,0/2,0/2,0/2
Helsinki,4/4,5/6,3/3,4/5,1/5,4/4,3/3,1/2,3/3,1/2,0/2,0/2
"Kronoberg Region  Reality Lab (Healthcare) *",2/4,3/6,1/3,0/5,1/5,2/4,2/3,1/2,0/3,0/2,0/2,2/2
"Kyiv ",3/4,5/6,3/3,4/5,1/5,3/4,2/3,2/2,1/3,0/2,1/2,2/2
"Madrid ",2/4,5/6,3/3,2/5,3/5,3/4,3/3,2/2,1/3,2/2,1/2,2/2
"Milan ",4/4,6/6,2/3,5/5,2/5,3/4,2/3,2/2,3/3,2/2,2/2,2/2
"Murcia ",2/4,5/6,3/3,1/5,2/5,3/4,3/3,2/2,0/3,1/2,0/2,0/2
"Nuovo Circondario Imolese",2/4,2/6,1/3,0/5,1/5,3/4,1/3,0/2,0/3,2/2,0/2,0/2
"Olesa de Montserrat",1/4,1/6,1/3,1/5,2/5,3/4,3/3,2/2,1/3,1/2,1/2,0/2
"Porto ",3/4,3/6,3/3,4/5,3/5,2/4,2/3,2/2,2/3,0/2,1/2,0/2
"Riga ",1/4,4/6,3/3,0/5,1/5,0/4,3/3,0/2,2/3,0/2,0/2,0/2
